country_code,year,PIB,country_name,continent_name,pop_active,pop_total,earth_footprint,IHD,pib_per_capta,measure,energy_value,earth_footprint_continent_mean_on_year,pop_active_continent_mean_on_year,pop_total_continent_mean_on_year,IHD_continent_mean_on_year,pib_per_capta_continent_mean_on_year,energy_value_continent_mean_on_year
ITA,1990,1177326294440.85,Italy,Europe,23916316,56719240,2.5060128230028136,0.769,20757.088678213073,PC_PRYENRGSUPPLY,4.42,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
JAM,1990,4592224067.37194,Jamaica,North America,1081570,2419906,0.673592569169323,0.638,1897.686962787786,PC_PRYENRGSUPPLY,17.4,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
JOR,1990,4160003917.43258,Jordan,Asia,778311,3565890,0.7081573561408715,0.617,1166.610276097294,PC_PRYENRGSUPPLY,1.87,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
JPN,1990,3132817652848.04,Japan,Asia,63876487,123537000,2.640366248097482,0.816,25359.34702031003,PC_PRYENRGSUPPLY,3.41,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
KAZ,1990,26932728898.8146,Kazakhstan,Europe,7969876,16348000,NA,0.69,1647.4632309037559,PC_PRYENRGSUPPLY,1.02,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
KAZ,1990,26932728898.8146,Kazakhstan,Asia,7969876,16348000,NA,0.69,1647.4632309037559,PC_PRYENRGSUPPLY,1.02,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
KEN,1990,8572359162.85631,Kenya,Africa,8748266,23724579,0.6578139273584633,0.468,361.328188915652,PC_PRYENRGSUPPLY,82.01,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
KGZ,1990,2675000000,Kyrgyzstan,Asia,1698760,4391200,NA,0.618,609.1728912370195,PC_PRYENRGSUPPLY,11.54,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
KHM,1990,NA,Cambodia,Asia,4004290,8975597,0.4854534838145841,0.364,NA,PC_PRYENRGSUPPLY,NA,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
KOR,1990,279349355713.801,"Korea, Republic of",Asia,19182453,42869283,1.8059197416403994,0.728,6516.305759389562,PC_PRYENRGSUPPLY,1.08,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
KWT,1990,18427777777.7778,Kuwait,Asia,894902,2095344,NA,0.713,8794.631228942742,PC_PRYENRGSUPPLY,0.06,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
LAO,1990,865559856.1639,Lao People's Democratic Republic,Asia,1927861,4258472,0.612732664636054,0.4,203.25596978538312,NA,NA,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
LKA,1990,8032551173.24014,Sri Lanka,Asia,7353927,17325773,0.41201683994065025,0.625,463.618631805931,PC_PRYENRGSUPPLY,75.89,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
LSO,1990,596415104.549144,Lesotho,Africa,696260,1703747,0.7201108803869298,0.499,350.0608391675196,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
LTU,1990,NA,Lithuania,Europe,1789609,3697838,NA,0.732,NA,PC_PRYENRGSUPPLY,1.99,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
LUX,1990,13229247947.8513,Luxembourg,Europe,160004,381850,6.23378902622756,0.782,34645.143244340186,PC_PRYENRGSUPPLY,0.54,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
LVA,1990,NA,Latvia,Europe,1286535,2663151,NA,0.704,NA,PC_PRYENRGSUPPLY,13.31,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
MAR,1990,30180108561.9305,Morocco,Africa,7552137,24807462,0.5698078582464355,0.458,1216.573810006461,PC_PRYENRGSUPPLY,14.4,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
MDA,1990,NA,Moldova (Republic of),Europe,1298089,3696000,NA,0.651,NA,PC_PRYENRGSUPPLY,0.85,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
MEX,1990,261253582805.945,Mexico,North America,29853135,83943132,1.2068688316438037,0.65,3112.2687059847253,PC_PRYENRGSUPPLY,12.12,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
MLI,1990,2681912030.49384,Mali,Africa,3147600,8449913,0.6158715439727042,0.231,317.38930690692797,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
